Date,Category,Product,Quantity,Price,Region
2023-01-05,Smartphones,Samsung Galaxy S21,2,54990,Center
2023-01-05,Accessories,iPhone Case,5,1200,South
2023-01-06,Laptops,HP Pavilion,1,62500,West
2023-01-07,Audio,Sony Headphones,3,4990,Center
2023-01-08,Smartphones,iPhone 13,2,79990,North
2023-01-10,TV,LG OLED 55",1,89990,Center
2023-01-12,Accessories,USB-C Cable,8,590,East
2023-01-15,Smartphones,Xiaomi Redmi Note 10,4,18990,South
2023-01-18,Audio,JBL Bluetooth Speaker,2,3490,West
2023-01-20,Laptops,MacBook Air,1,99990,Center
2023-01-22,Accessories,Power Bank,3,1990,North
2023-01-25,Smartphones,Google Pixel 6,1,52990,East
2023-01-28,TV,Samsung 4K 50",1,45990,South
2023-01-30,Audio,Apple AirPods,2,12990,Center
2023-02-02,Laptops,Lenovo ThinkPad,1,78500,West
2023-02-05,Smartphones,Samsung Galaxy S21,3,54990,North
2023-02-07,Accessories,Screen Protector,10,490,Center
2023-02-10,Audio,Sony WH-1000XM4,1,28990,East
2023-02-12,TV,Xiaomi Mi TV,2,32990,South
2023-02-15,Laptops,Asus ZenBook,1,69990,Center
2023-02-18,Smartphones,iPhone 13,3,79990,West
2023-02-20,Accessories,Wireless Charger,4,1490,North
2023-02-23,Audio,Bose Soundbar,1,29990,Center
2023-02-26,Smartphones,Xiaomi Redmi Note 10,5,18990,East
2023-02-28,TV,LG OLED 55",1,89990,South
2023-03-03,Laptops,Dell XPS,1,112990,West
2023-03-05,Accessories,Laptop Bag,3,2490,Center
2023-03-08,Smartphones,Samsung Galaxy S21,4,54990,North
2023-03-10,Audio,JBL Bluetooth Speaker,3,3490,East
2023-03-13,TV,Samsung 4K 50",2,45990,South
2023-03-15,Smartphones,iPhone 13,2,79990,Center
2023-03-18,Laptops,HP Pavilion,2,62500,West
2023-03-20,Accessories,USB-C Cable,12,590,North
2023-03-23,Audio,Sony Headphones,4,4990,Center
2023-03-26,Smartphones,Google Pixel 6,2,52990,East
2023-03-29,TV,Xiaomi Mi TV,3,32990,South
2023-04-01,Laptops,MacBook Air,1,99990,West
2023-04-04,Accessories,Power Bank,5,1990,Center
2023-04-07,Smartphones,Xiaomi Redmi Note 10,7,18990,North
2023-04-10,Audio,Apple AirPods,3,12990,East
2023-04-13,TV,LG OLED 55",2,89990,South
2023-04-16,Laptops,Lenovo ThinkPad,1,78500,Center
2023-04-19,Smartphones,Samsung Galaxy S21,5,54990,West
2023-04-22,Accessories,Screen Protector,15,490,North
2023-04-25,Audio,Sony WH-1000XM4,2,28990,East
2023-04-28,TV,Samsung 4K 50",3,45990,South
2023-05-01,Laptops,Asus ZenBook,2,69990,Center
2023-05-04,Smartphones,iPhone 13,4,79990,West
2023-05-07,Accessories,Wireless Charger,6,1490,North
2023-05-10,Audio,Bose Soundbar,2,29990,East
2023-05-13,Smartphones,Google Pixel 6,3,52990,South
2023-05-16,TV,Xiaomi Mi TV,4,32990,Center
2023-05-19,Laptops,Dell XPS,1,112990,West
2023-05-22,Accessories,Laptop Bag,4,2490,North
2023-05-25,Smartphones,Xiaomi Redmi Note 10,8,18990,East
2023-05-28,Audio,JBL Bluetooth Speaker,5,3490,South
2023-05-31,TV,LG OLED 55",2,89990,Center
2023-06-03,Laptops,HP Pavilion,3,62500,West
2023-06-06,Accessories,iPhone Case,8,1200,North
2023-06-09,Smartphones,Samsung Galaxy S21,6,54990,East
2023-06-12,Audio,Sony Headphones,6,4990,South
2023-06-15,TV,Samsung 4K 50",3,45990,Center
2023-06-18,Laptops,MacBook Air,2,99990,West
2023-06-21,Accessories,USB-C Cable,18,590,North
2023-06-24,Smartphones,iPhone 13,5,79990,East
2023-06-27,Audio,Apple AirPods,4,12990,South
2023-06-30,TV,Xiaomi Mi TV,5,32990,Center
2023-07-03,Laptops,Lenovo ThinkPad,2,78500,West
2023-07-06,Accessories,Power Bank,7,1990,North
2023-07-09,Smartphones,Google Pixel 6,4,52990,East
2023-07-12,Audio,Sony WH-1000XM4,3,28990,South
2023-07-15,TV,LG OLED 55",3,89990,Center
2023-07-18,Laptops,Asus ZenBook,2,69990,West
2023-07-21,Smartphones,Xiaomi Redmi Note 10,9,18990,North
2023-07-24,Accessories,Screen Protector,20,490,East
2023-07-27,Audio,Bose Soundbar,2,29990,South
2023-07-30,TV,Samsung 4K 50",4,45990,Center
2023-08-02,Laptops,Dell XPS,2,112990,West
2023-08-05,Accessories,Wireless Charger,8,1490,North
2023-08-08,Smartphones,Samsung Galaxy S21,7,54990,East
2023-08-11,Audio,JBL Bluetooth Speaker,6,3490,South
2023-08-14,TV,Xiaomi Mi TV,5,32990,Center
2023-08-17,Laptops,HP Pavilion,3,62500,West
2023-08-20,Accessories,Laptop Bag,5,2490,North
2023-08-23,Smartphones,iPhone 13,6,79990,East
2023-08-26,Audio,Sony Headphones,7,4990,South
2023-08-29,TV,LG OLED 55",3,89990,Center
2023-09-01,Laptops,MacBook Air,2,99990,West
2023-09-04,Accessories,USB-C Cable,15,590,North
2023-09-07,Smartphones,Google Pixel 6,5,52990,East
2023-09-10,Audio,Apple AirPods,6,12990,South
2023-09-13,TV,Samsung 4K 50",3,45990,Center
2023-09-16,Laptops,Lenovo ThinkPad,2,78500,West
2023-09-19,Accessories,Power Bank,6,1990,North
2023-09-22,Smartphones,Xiaomi Redmi Note 10,8,18990,East
2023-09-25,Audio,Sony WH-1000XM4,4,28990,South
2023-09-28,TV,Xiaomi Mi TV,4,32990,Center
2023-10-01,Laptops,Asus ZenBook,3,69990,West
2023-10-04,Accessories,Screen Protector,18,490,North
2023-10-07,Smartphones,Samsung Galaxy S21,5,54990,East
2023-10-10,Audio,Bose Soundbar,3,29990,South
2023-10-13,TV,LG OLED 55",4,89990,Center
2023-10-16,Laptops,Dell XPS,2,112990,West
2023-10-19,Accessories,iPhone Case,10,1200,North
2023-10-22,Smartphones,iPhone 13,7,79990,East
2023-10-25,Audio,JBL Bluetooth Speaker,8,3490,South
2023-10-28,TV,Samsung 4K 50",5,45990,Center
2023-10-31,Laptops,HP Pavilion,4,62500,West
2023-11-03,Accessories,Wireless Charger,9,1490,North
2023-11-06,Smartphones,Google Pixel 6,6,52990,East
2023-11-09,Audio,Sony Headphones,9,4990,South
2023-11-12,TV,Xiaomi Mi TV,6,32990,Center
